"Name","Location","Type","Namespace"
"calc","80000000","Data Label","Global"
"ConsoleBusSpeed","800000f8","Data Label","Global"
"CheatHandler","800018a8","Data Label","Global"
"interrupt_system_reset","80004100","Instruction Label","Global"
"FUN_80004200","80004200","Function","Global"
"FUN_80004800","80004800","Function","Global"
"memcpy","80005f34","Function","Global"
"__fill_mem","80005f84","Function","Global"
"memset","80006038","Function","Global"
"__check_pad3","80006068","Function","Global"
"__set_debug_bba","80006090","Function","Global"
"__get_debug_bba","8000609c","Function","Global"
"__start","800060a4","Function","Global"
"__init_registers","80006210","Function","Global"
"init_registers","80006210","Function","Global"
"__init_data","800062a0","Function","Global"
"__init_hardware","80006348","Function","Global"
"__flush_cache","8000636c","Function","Global"
"StrapScene_construct","800072c0","Function","Global"
"RKScene_destroy","800073f0","Function","Global"
"StrapScene_destroy","80007448","Function","Global"
"StrapScene_linkModule","800074a4","Function","Global"
"StrapScene_enter","800074d8","Function","Global"
"StrapScene_getUserInput","800077c8","Function","Global"
"StrapScene_calc","800079d0","Function","Global"
"ColorFader_getStatus","80007bc0","Function","Global"
"StrapScene_draw","80007bc8","Function","Global"
"StrapScene_exit","80007f2c","Function","Global"
"Scene_outgoing_childCreate","80007f34","Function","Global"
"outgoing_childCreate__Q23EGG5SceneFv","80007f34","Function","Global"
"Scene_incoming_childDestroy","80007f38","Function","Global"
"incoming_childDestroy__Q23EGG5SceneFv","80007f38","Function","Global"
"Scene_reinit","80007f3c","Function","Global"
"reinit__Q23EGG5SceneFv","80007f3c","Function","Global"
"Scene_exit","80007f40","Function","Global"
"exit__Q23EGG5SceneFv","80007f40","Function","Global"
"Scene_enter","80007f44","Function","Global"
"enter__Q23EGG5SceneFv","80007f44","Function","Global"
"Scene_draw","80007f48","Function","Global"
"draw__Q23EGG5SceneFv","80007f48","Function","Global"
"Scene_calc","80007f4c","Function","Global"
"calc__Q23EGG5SceneFv","80007f4c","Function","Global"
"Resource_getResourcePath","80007f50","Function","Global"
"GetResourcePath__Q26System8ResourceFQ26System15eSystemResource","80007f50","Function","Global"
"GetResourceID__Q26System8ResourceFQ26System15eSystemResource","80007f64","Function","Global"
"DiscError","80007f7c","Function","DiscError"
"__dt","80007fac","Function","DiscError"
"setMessage","80008004","Function","DiscError"
"RFWrap_DoesNothing","800080f4","Function","Global"
"printError","800080f8","Function","DiscError"
"__dt","80008bd0","Function","Color"
"create","80008c10","Function","DiscCheckThread"
"__dt","80008cb0","Function","DiscCheckThread"
"run((void))","80008d18","Function","DiscCheckThread"
"halt((void))","80008e20","Function","DiscCheckThread"
"printError","80008e74","Function","DiscCheckThread"
"onExit__Q23EGG6ThreadFv","80008e7c","Function","Global"
"onEnter__Q23EGG6ThreadFv","80008e80","Function","Global"
"getStaticInstance","80008e84","Function","RKSystem"
"WPADAllocate","80008e90","Function","RKSystem"
"WPADFree","80008eb0","Function","RKSystem"
"main","80008ef0","Function","RKSystem"
"main","80008ef0","Function","Global"
"getSysHeap","80008fac","Function","RKSystem"
"initialize","80008fb4","Function","BaseSystem"
"initRenderMode","80009190","Function","BaseSystem"
"initialize","80009194","Function","RKSystem"
"run","8000951c","Function","RKSystem"
"getDisplay","80009818","Function","BaseSystem"
"onBeginFrame)","80009820","Function","BaseSystem"
"onEndFrame","80009824","Function","BaseSystem"
"getSceneManager","80009828","Function","BaseSystem"
